id,name,colour
-1,Northern Cyprus,#AA5485
-2,Kosovo,#E5515A
-3,Somaliland,#DA3E1B
4,Afghanistan,#E57E66
8,Albania,#EA3E4D
10,Antarctica,#42FBE7
12,Algeria,#ECBCD2
16,American Samoa,#EEFB5F
20,Andorra,#D53AA4
24,Angola,#B5947E
28,Antigua and Barbuda,#9AA9C3
31,Azerbaijan,#A26BA6
32,Argentina,#F32409
36,Australia,#C04C2E
40,Austria,#72EB1C
44,Bahamas,#DEB8BA
48,Bahrain,#9D75CF
50,Bangladesh,#AD595E
51,Armenia,#3002F9
52,Barbados,#567987
56,Belgium,#106F44
60,Bermuda,#40F6F9
64,Bhutan,#925BFE
68,"Bolivia, Plurinational State of",#E4556F
70,Bosnia and Herzegovina,#8CC455
72,Botswana,#40CCE0
74,Bouvet Island,#59526E
76,Brazil,#37D7FA
84,Belize,#6D0A0B
86,British Indian Ocean Territory,#26A7DA
90,Solomon Islands,#8F5E64
92,"Virgin Islands, British",#C4E2BC
96,Brunei Darussalam,#8A67E5
100,Bulgaria,#F810FE
104,Myanmar,#96A393
108,Burundi,#8A61CE
112,Belarus,#927F09
116,Cambodia,#674265
120,Cameroon,#5657B7
124,Canada,#DAEA01
132,Cape Verde,#BA5853
136,Cayman Islands,#CD7721
140,Central African Republic,#854FBF
144,Sri Lanka,#B3412A
148,Chad,#928FAE
152,Chile,#5ECADE
156,China,#4F6A3A
158,"Taiwan, Province of China",#502618
162,Christmas Island,#642780
166,Cocos (Keeling) Islands,#C75E74
170,Colombia,#036CA9
174,Comoros,#FFA17E
175,Mayotte,#36F16A
178,Congo,#0829BD
180,"Congo, the Democratic Republic of the",#A1C224
184,Cook Islands,#2ED9EB
188,Costa Rica,#3503DE
191,Croatia,#AA5485
192,Cuba,#E5515A
196,Cyprus,#DA3E1B
203,Czech Republic,#E57E66
204,Benin,#EA3E4D
208,Denmark,#42FBE7
212,Dominica,#ECBCD2
214,Dominican Republic,#EEFB5F
218,Ecuador,#D53AA4
222,El Salvador,#B5947E
226,Equatorial Guinea,#9AA9C3
231,Ethiopia,#A26BA6
232,Eritrea,#F32409
233,Estonia,#C04C2E
234,Faroe Islands,#72EB1C
238,Falkland Islands (Malvinas),#DEB8BA
239,South Georgia and the South Sandwich Islands,#9D75CF
242,Fiji,#AD595E
246,Finland,#3002F9
248,«?land Islands,#567987
250,France,#106F44
254,French Guiana,#40F6F9
258,French Polynesia,#925BFE
260,French Southern Territories,#E4556F
262,Djibouti,#8CC455
266,Gabon,#40CCE0
268,Georgia,#59526E
270,Gambia,#37D7FA
275,"Palestinian Territory, Occupied",#6D0A0B
276,Germany,#26A7DA
288,Ghana,#8F5E64
292,Gibraltar,#C4E2BC
296,Kiribati,#8A67E5
300,Greece,#F810FE
304,Greenland,#96A393
308,Grenada,#8A61CE
312,Guadeloupe,#927F09
316,Guam,#674265
320,Guatemala,#5657B7
324,Guinea,#DAEA01
328,Guyana,#BA5853
332,Haiti,#CD7721
334,Heard Island and McDonald Islands,#854FBF
336,Holy See (Vatican City State),#B3412A
340,Honduras,#928FAE
344,Hong Kong,#5ECADE
348,Hungary,#4F6A3A
352,Iceland,#502618
356,India,#642780
360,Indonesia,#C75E74
364,"Iran, Islamic Republic of",#036CA9
368,Iraq,#FFA17E
372,Ireland,#36F16A
376,Israel,#0829BD
380,Italy,#A1C224
384,C«Ôte d'Ivoire,#2ED9EB
388,Jamaica,#AA5485
392,Japan,#E5515A
398,Kazakhstan,#DA3E1B
400,Jordan,#E57E66
404,Kenya,#EA3E4D
408,"Korea, Democratic People's Republic of",#42FBE7
410,"Korea, Republic of",#ECBCD2
414,Kuwait,#EEFB5F
417,Kyrgyzstan,#D53AA4
418,Lao People's Democratic Republic,#B5947E
422,Lebanon,#9AA9C3
426,Lesotho,#A26BA6
428,Latvia,#F32409
430,Liberia,#C04C2E
434,Libya,#72EB1C
438,Liechtenstein,#DEB8BA
440,Lithuania,#9D75CF
442,Luxembourg,#AD595E
446,Macao,#3002F9
450,Madagascar,#567987
454,Malawi,#106F44
458,Malaysia,#40F6F9
462,Maldives,#925BFE
466,Mali,#E4556F
470,Malta,#8CC455
474,Martinique,#40CCE0
478,Mauritania,#59526E
480,Mauritius,#37D7FA
484,Mexico,#6D0A0B
492,Monaco,#26A7DA
496,Mongolia,#8F5E64
498,"Moldova, Republic of",#C4E2BC
499,Montenegro,#8A67E5
500,Montserrat,#F810FE
504,Morocco,#96A393
508,Mozambique,#8A61CE
512,Oman,#927F09
516,Namibia,#674265
520,Nauru,#5657B7
524,Nepal,#DAEA01
528,Netherlands,#BA5853
531,Cura«ıao,#CD7721
533,Aruba,#854FBF
534,Sint Maarten (Dutch part),#B3412A
535,"Bonaire, Sint Eustatius and Saba",#928FAE
540,New Caledonia,#5ECADE
548,Vanuatu,#4F6A3A
554,New Zealand,#502618
558,Nicaragua,#642780
562,Niger,#C75E74
566,Nigeria,#036CA9
570,Niue,#FFA17E
574,Norfolk Island,#36F16A
578,Norway,#0829BD
580,Northern Mariana Islands,#A1C224
581,United States Minor Outlying Islands,#2ED9EB
